Crop,Farm/Grower,Image,Location,Area,WTF?,Lat,Long,Owner,Website,Contact,Confirmation? ,Email,You pick?,Hours of operation,Notes,Images,
Pumpkins; Apples; Sweet Corn; Chili Peppers,Apple Annie's Produce and Pumpkins,,6405 Williams Rd,Willcox,,32.383977,-109.930908,Annie Holcomb,http://www.appleannies.com/,520.384.2084,LM,apples@appleannies.com,U-Pick; Events; Country Store; Farm Stand,Country Store at 1510 N Circle I Rd in Willcox open year round. Orchards and farm stand open July-October. See website for details. ,"Sweet corn, apple, peach, and pumpkin festivals as well as u-pick opportunities at three locations. ",,
Pumpkins,Buckelew Farm Pumpkin Festival and Corn Maze,,17000 W. Ajo Hwy,Tucson,,32.076243,-111.331715,Clint Buckelew,http://www.buckelewfarm.com/,520.822.2277,"y, will send info",clint@buckelewfarm.com,U-Pick; Tours; Events;  ,Last 3 weekends in October. Call for information.,"Open in fall to special events including a u-pick pumpkin festival, tours to school groups, and a haunted house and haunted corn maze in the evenings. Also a Christmas tree lot. ",,
Pumpkins; Sweet Corn,Freeman Family Farms,"""\\Covellite\vae\Ag_Grant\Map\Images\Corn\Freeman_Corn_patch.jpg""",1096 E. Road 3 South,Chino Valley,,34.724687,-112.446227,Norm Freeman,,928.636.5714,LM,mpr@azpumpkins.com,U-Pick; Tours; Events,Saturday & Sundays in October. Call for information.,"Saveral varieties of pumpkins for grabs in the boutique pumpkin patch. The Freeman Farms Pumpkin Festival boasts sweet corn for grilling, performance venues, petting zoo, corn maze, and more. ",,
Apples,Suhr Family Farms,,3754 North Mars View Way,Cochise,,32.028752,-109.941204,,,520.401.3117,LM,erlene.suhr@gmail.com,U-Pick; Farm Stand,"Saturdays, August- October; by appointment.","Organic apples and pears, kosher and halal meats and Arizona's largest herd of beefalo cattle. Picnic area for guests. ",,
Pumpkins; Apples; Sweet Corn,Mother Nature's Farm,,1663 E. Baseline Rd,Gilbert,,33.378772,-111.795072,Wade Kelsall,http://www.mothernaturesfarm.com/,480.892.5874,LM,wade@mothernaturesfarm.com,"U-Pick, Events; Tours",September - December; Hours vary. Call for information.,"Every day is an adventure with a petting zoo, mini maze, special accommodations for school children, and several special events, including a snow day. ",,
Pumpkins; Chili Peppers; Romaine Lettuce; Apples,Schnepf Farms,,24810 Rittenhouse Rd,Queen Creek,,33.226231,-111.595784,Carrie Schnepf,http://www.schnepffarms.com/,480.987.3100,"corrected and sent email, could not LM",info@schnepffarms.com,U-Pick; Events; Tours; Community Farm Stand; Country Store; Guest Lodging; Museum,Open year round. Hours vary according to season. Call for information.,"A designated Arizona Treasure, this farm offers a year-round variety of u-pick organic vegetables as well as tours, festivals, various markets, and a field to hold your own event. ",,
Sweet Corn; Honey; Chili Peppers; Pumpkins,Tolmachoff Farms,,5726 N. 75th Ave ,Glendale,,33.520096,-112.220543,Bill and Grace Tolmachoff,http://www.tolmachoff-farms.com/,623.386.1301,"corrected email and resent, too busy to talk",tolmachoff1farms@yahoo.com,U-Pick; Events; Tours; Farm Stand,"Produce Stand:  Mid May -Mid July 9 - 5; October - December 9 - 5
Special events or tours:  Field trips, 8 - 3 Monday - Friday (February - April) $7.00 each for everyone age 1 & up
October Pumpkin Patch and Corn Maze, $10.00 each for everyone age 1 & up (includes 1 small pumpkin)
November - December, $7.00 each for everyone age 1 & up
","An agritourism bonanza awaits visitors, including field trips,train tours, bike track and petting zoo with pony rides, U-pick opportunities, and even a deluxe birthday package and seasonal corn mazes and a pumpkin patch.",,
Pumpkins; Sweet Corn; Chili Peppers,Harris Heritage Growers,,27811 S. Sonoita Hwy,Sonoita,,31.752122,-110.670511,"Denise Purvis, Mary McKay",https://www.facebook.com/HarrisHeritageGrowers,520.455.9272,LM,gndpurvis@wildblue.net,U-Pick; Farm Stand; Events,Daily 9-4,This small family u-pick farm offers a variety of produce and distributes to restaurants in the Sonoita area.  ,,
Pumpkins; Sweet Corn,Vertuccio Farms,,4011 S. Power Rd,Mesa,,33.343184,-111.686722,Cono and Angela Vertuccio,http://vertucciofarms.com/,480.650.6606,LM,vertucciofarmsaz@gmail.com,U-Pick; Events; Tours; Farm Camp,Call for information.,A family fun place with a fall festival and even a mud run event. ,,
Sweet Corn,Freeman's Corn Patch,,SE Corner of Brown and Center St,Mesa,,33.434947,-111.831268,LeeAnn and Mark Freeman,,602.799.7092,y,markafreeman2003@yahoo.com,Farm Stand,Monday-Saturday 7am-6pm. Open Memorial Day weekend through July.,"Sweet corn and other summer crops are available at the barn and farm stand, as well as a variety of produce from other Arizona direct growers. ",freeman-corn-patch/20140606_08353539.jpeg;freeman-corn-patch/Freeman_Corn_patch.jpg;freeman-corn-patch/IMAG0532.jpg;freeman-corn-patch/P6220476.JPG;freeman-corn-patch/P6220481.JPG,
Apples; Honey,Beatty's Guest Ranch,,2173 E. Miller Canyon Rd,"Hereford, AZ",,31.416565,-110.276657,Edith and Tom Beatty,http://www.beattysguestranch.com/,520.378.2728,"REMOVE fire- lost everything, not interested in particiapting",beattysguestranch@wildblue.net,Guest Lodgings,Dawn - dusk,Family owned orchard and guest ranch growing over 29 varities of apples in the Miller Canyon ares of the Huachuca Mountains. Many of the trees were burned by the 2011 fire in that area but the orchard has been replanted and should bear fruit within the next several years.,,
Apples,Brown's Orchard,,5774 N. Atwood Dr,Willcox,,32.328332,-109.924852,June Windstein,http://www.youpickapples.com/,520.384.3671,LM,appleadventure@yahoo.com,U-Pick; Farm Stand,Thursday -Sunday 8-5,Boasting a wide variety of apple and pear trees. Apple cider also available. ,,
Apples,Howard's Orchard,,4101 E. Pinal St,Catalina,,32.504225,-110.905601,James Howard,,520.825.9413,y,howardjamesk@gmail.com,U-Pick; Farm Stand,Wednesday-Saturday 6:30-noon,"U-Pick opportunity for organic apples, also a source for tomatoes, cucumbers, and other tree fruit. ",,
Apples,Folded Hills Orchard,,1240 E. Willow Point Rd,Cornville,,34.753518,-111.887732,,,928.634.4649,,,U-Pick; Farm Stand,Open Mid-June through September. Call for information.,"Organic apples, peaches, and blackberries. ",,
Apples,Fenway Park Orchards,,42610 Hwy 60 -89,Morristown,double check,33.921579,-112.677991,Allen and Carol Way,http://fenwayparkorchards.com/,623.388.2603,,away106824@aol.com,U-Pick,Wednesday & Thursday; Saturday & Sunday. Call for information.,Organic apples and peaches. ,,
Apples,Angle Orchard,,"about 7.4 miles from the intersection of Highway 366 (Swift Trail) and Highway 191. Shortly after Noon Creek, watch for the Angle Orchard sign on the south side of the road and follow the turnoff to the orchard.",Mt. Graham,,32.701799,-109.87164,Andrew Preston Angle,,928.428.1605,,,U-Pick,"Monday, Tuesday, Thursday-Saturday: 9:00am-5:00pm : September, October. Call for information.",Organic apples and peaches. ,,
Chili Peppers; Romaine Lettuce,K & B Farms,,813 Cove Parkway Ste 103,Cottonwood,,34.725054,-112.00373,Kelly Cathcart and Beep Lawrence,,928.301.8043,,kcathcart@qwestoffice.net,Farm Stand; Tours,Thursday-Sunday 9-5. June-December,"Local produce and meats, including goats and pigs. ",,
Chili Peppers,Santa Cruz Chili and Spice Co,,1868 E Frontage Rd,Tumacacori,,31.55792,-111.04869,Ed Curry or Jeanie Newbower,http://www.santacruzchili.com/,520.398.2591,,info@santacruzchili.com,Museum; Country Store,Weekdays 8-5; Saturday 10-5,"Located in the heart of the Santa Cruz Valley this company is both a manufacturer and retailer of fine chili products and also sells a wide variety of gourmet Southwestern foods, cookbooks and a large selection of spices and herbs.",,
Romaine Lettuce,Whipstone Farm,,21640 N. Juniper Ridge Rd,Paulden,,34.858361,-112.494319,,http://www.whipstone.com,928.636.6209,,shanti@whipstone.com,Farm Stand (Self-Serve); CSA; Tours,Call for information.,"Over 100 varieties of vegetables, flowers, and herbs. ",,
Romaine Lettuce,Field to Feast Agricultural Tours,"""\\Covellite\vae\Ag_Grant\Map\Images\Romaine Lettuce\yuma_farm-dinner-vertical.jpg""",University of Arizona Research Farm,Yuma,,32.727427,-114.622072,Yuma Visitors Bureau,http://www.visityuma.com/field-to-feast-agriculture-tour.html,800.293.0071 or 928.783.0071,,,"Tour, Meal, U-pick","Several times a week, January-March. Call for reservations.","It's a true recipe for success! Field to Feast tours offer a half-day hands-on farming lesson in Yuma's fields. Led by a local grower, participants will receive equipment and safe handling techniques, then head out to the field on the University of Arizona research farm to harvest ripe veggies that will be turned into a delicious lunch for you to enjoy by culinary students at Arizona Western College.  Tickets go on sale Nov. 1, 2015. Call for specific dates. Be sure to book early; these tours sell out. ", field-to-feast/yuma_farm-dinner-vertical.jpg ,
Lemons; Medjool Dates; Romaine Lettuce; Olives,Savor Yuma Culinary Tours,,A tour of local Yuma eateries that starts at  the Visitor Information Center at the Yuma Quartermaster Depot State Historic Park.,Yuma,,32.728125,-114.623416,Yuma Visitors Bureau,,800.293.0071 or 928.783.0071,,,Tour of restaurants that use fresh Yuma produce,"Bi-monthly, January- March. Call for reservations.","Sample field-fresh Yuma bounty and fare prepared with border flair at several classic Yuma establishments in an unforgettable meal tour. Relax with a convivial group as you are shuttled to a variety of culinary hot spots for a sampling of food made fresh with Yuma produce at each location. The menu and the locations vary each week. Price is $50 per person, includes two ""adult"" beverages and transportion.",,
Sweet Corn,Hauser and Hauser Farms,,652 Montezuma Castle Highway,Camp Verde,,34.577673,-111.854738,Claudia Hauser,http://www.hauserandhauserfarms.com,928.567.2142,,hauserfarms@aol.com,Farm Stand,Open seasonally in summer and fall. Call for information.,,,
Chili Peppers,Arizona Salsa Trail,,"Restaurants and attractions in Safford, Pima, Thatcher, Solomon, Clifton, Duncan, Willcox, and York",Graham County,,32.834416,-109.708035,Graham County collaborative,http://www.salsatrail.com/,928.428.2511,,info@graham-chamber.com,Self-guided tour of individual restaurants specializing in Mexican food and local flavors. ,Hours for individual restaurants vary. Please see Salsa Trail Website for details. ,"Discover Graham County's best Mexican food as you follow the Salsa Trail from one small town to another. Map point is Casa Manana, #2 on the Arizona Salsa Trail. ",,
